failed,login,is_admin,attempt_score,anomaly,anomaly_score,threat_level
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.1013281853479678,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422,SUSPICIOUS
0,0,0,0.02,-1,-0.10132818534796784,SUSPICIOUS
1,1,1,0.8,-1,-0.0037791631022422445,SUSPICIOUS
